address,databaseID,price,bedrooms,bathroom,sqft,zip,lat,lng,ancherRating,jamesRating
91-Leach-Point-Rd-Perry-ME-04667,5e67ec472a4cdf440c947c63,335000,3,2,1750,4667,44.942835,-67.0986391},,
4433-Arlington-Park-Dr-Lakeland-FL-33801,5e75b552f8e7454e6074d04f,58500,2,2,1600,33801,28.0565251,-81.8700214,medium,unsure
8-Rocky-Ledge-Ln-Perry-ME-04667,5e691e830fd4a260ac08cd7a,83569,2,1,504,4667,44.982601,-67.0676916},,
4516-Arlington-Park-Dr-Lakeland-FL-33801,5e75b430f8e7454e6074d048,53200,2,2,1540,33801,28.055759,-81.8676849,medium,medium
1505-Schalamar-Creek-Dr-880-Lakeland-FL-33801,5e75a4e9f8e7454e6074cff5,49900,3,2,1344,33801,28.0653531,-81.8657561,medium,medium
1920-Griffins-Green-Dr-Bartow-FL-33830,5e76ac7310ae64470815743c,224025,3,2,1808,33830,27.9254034,-81.87256579999999},,
4375-Dirkshire-Loop-860-Lakeland-FL-33801,5e75a878f8e7454e6074d009,54900,2,2,1708,33801,28.0657079,-81.8711541,medium,medium
4622-Alpine-Dr-247-Lakeland-FL-33801,5e75b2ecf8e7454e6074d040,54900,2,2,1232,33801,28.0580683,-81.8664421,medium,medium
206-San-Saba-St-Mission-TX-78572,5e7ba95accaa4a3ba0beb143,215000,3,5,2740,78572,26.1849151,-98.2920578,medium,unsure
1066-Buckingham-Dr-A-Manchester-NJ-08759,5e69211bb03c11406ca6c3a2,159900,2,2,1474,8759,40.003783,-74.287361,rich,rich
1102A-Thornbury-Ln-Manchester-NJ-08759,5e6920eeb03c11406ca6c3a1,205000,2,3,1479,8759,40.00256,-74.287771,useless,useless
137-137B-Azalea-Dr-Manchester-Township-NJ-08759,5e6920a2b03c11406ca6c39f,39900,2,1,797,8759,39.9420057,-74.3527811,poor,poor
4631-Crestwicke-Dr-407-Lakeland-FL-33801,5e75b511f8e7454e6074d04e,54000,2,2,1344,33801,28.0621802,-81.865705,medium,medium
4754-Devonwood-Ct-Lakeland-FL-33801,5e75aafaf8e7454e6074d019,45000,2,2,1336,33801,28.06772,-81.8656025,medium,medium
2113-Kingfisher-Ln-Mission-TX-78572,5e7bca62ccaa4a3ba0beb1e3,213900,2,2,1152,78572,26.1901036,-98.3724098,medium,medium
27250-Coach-Light-Ln-New-Caney-TX-77357,5e76ac9f10ae64470815743d,70000,3,2,1216,77357,30.1551672,-95.1443581,useless,useless
37B-Arizona-Ave-Whiting-NJ-08759,5e69219fb03c11406ca6c3a5,57900,1,1,--,8759,39.9480575,-74.4039955,poor,poor
4556-Dublin-Pl-507-Lakeland-FL-33801,5e75b023f8e7454e6074d032,49900,2,2,1456,33801,28.0650058,-81.8670532,medium,medium
1392-Deverly-Dr-331-Lakeland-FL-33801,5e75b48af8e7454e6074d04a,47900,2,2,1344,33801,28.0625149,-81.8690918,medium,medium
4437-Applegate-Dr-Lakeland-FL-33801,5e75acd4f8e7454e6074d024,26000,2,2,1128,33801,28.0565474,-81.8691578,poor,unsure
4535-Us-92-East-Lot-23-Lakeland-FL-33801,5e75ae5af8e7454e6074d02b,13500,2,1,--,33801,28.0467407,-81.8671961,unsure,poor
2014-Kiskadee-Ln-Mission-TX-78572,5e7bcb18ccaa4a3ba0beb1e7,212057,3,2,2065,78572,26.1925388,-98.3741412,medium,unsure
2464-Huckleberry-Rd-Manchester-NJ-08759,5e6923c6b03c11406ca6c3b0,249900,3,1,1248,8759,40.033661,-74.259542,rich,rich
4580-Duffer-Pl-LOT-525-Lakeland-FL-33801,5e75ad82f8e7454e6074d026,44900,2,2,1176,33801,28.0655636,-81.8671049,medium,medium
3507-Oriole-Dr-Mission-TX-78572,5e7bb657ccaa4a3ba0beb183,211955,3,3,2241,78572,26.1921379,-98.3717979,medium,unsure
4260-N-Roosevelt-St-Kingman-AZ-86409,5e79587b1f19d194c8a0228c,127946,2,1,1600,86409,35.2474068,-114.0179753},,
705B-Liverpool-Cir-Manchester-NJ-08759,5e69256cb03c11406ca6c3ba,149000,2,2,1602,8759,40.0070819,-74.27885,medium,unsure
14-Beaver-Ave-Whiting-NJ-08759,5e692480b03c11406ca6c3b4,83660,3,2,1142,8759,39.948398,-74.3250835,poor,medium
1470-Crooked-Stick-Loop-489-Lakeland-FL-33801,5e75a779f8e7454e6074d004,44500,2,2,1232,33801,28.0640363,-81.8658176,medium,medium
4445-Arlington-Park-Dr-105-Lakeland-FL-33801,5e75b3ddf8e7454e6074d045,38500,2,2,1232,33801,28.0561427,-81.8702038,medium,medium
4471-Arlington-Park-Dr-Lakeland-FL-33801,5e75ac75f8e7454e6074d023,36600,2,2,1744,33801,28.0554504,-81.8696535,medium,medium
45-Kingfisher-Way-Whiting-NJ-08759,5e69263fb03c11406ca6c3bf,83000,3,2,1152,8759,39.9570773,-74.3155147,poor,medium
67-Beaver-Ave-Whiting-NJ-08759,5e6925ddb03c11406ca6c3bd,21000,2,2,1152,8759,39.9515536,-74.3226646,poor,poor
1314-Deverly-Dr-318-Lakeland-FL-33801,5e75a9bdf8e7454e6074d010,35000,3,2,1512,33801,28.0609567,-81.8673674,medium,unsure
1526-Crooked-Stick-Loop-546-Lakeland-FL-33801,5e75aa67f8e7454e6074d015,27000,2,2,1064,33801,28.0645692,-81.8654015,unsure,unsure
944-Reynolds-Rd-LOT-69-Lakeland-FL-33801,5e75b30ff8e7454e6074d041,26900,2,2,--,33801,28.0318472,-81.8907824,poor,unsure
3505-Santa-Sofia-Ct-Mission-TX-78572,5e7bb0d7ccaa4a3ba0beb166,210000,4,3,3097,78572,26.1670047,-98.2935973,medium,medium
3000-San-Angelo-St-Mission-TX-78572,5e7bae49ccaa4a3ba0beb159,198500,4,3,3093,78572,26.1595814,-98.301197,poor,medium
392-Fairway-Ln-UNIT-B-Manchester-Township-NJ-08759,5e6928ceb03c11406ca6c3cb,65000,2,2,1000,8759,39.9393594,-74.3448114,poor,unsure
944-Reynolds-Rd-LOT-281-Lakeland-FL-33801,5e75ad2cf8e7454e6074d025,15900,2,1,767,33801,28.0318472,-81.8907824,unsure,unsure
2442-Winnipeg-Dr-Lakeland-FL-33805,5e7908211f19d194c8a02112,330000,4,3,2965,33805,28.1208581,-81.9146234,rich,rich
2383-Sebago-Dr-Lakeland-FL-33805,5e790b5c1f19d194c8a02123,287900,5,3,2409,33805,28.1252322,-81.9119762,rich,rich
214-Driftwood-Ave-Mission-TX-78572,5e7bb515ccaa4a3ba0beb17c,207900,3,4,1795,78572,26.2025588,-98.2816244,medium,medium
44-Berkshire-Rd-Whiting-NJ-08759,5e692bfcb03c11406ca6c3d8,179900,2,2,1568,8759,39.960972,-74.3257308,rich,rich
14-Ardmore-St-61-Whiting-NJ-08759,5e692b57b03c11406ca6c3d6,174900,2,2,2000,8759,39.9574435,-74.3461234,rich,useless
5151-Spanish-Oaks-Dr-Lakeland-FL-33805,5e7915f01f19d194c8a0215c,275590,5,2.5,2904,33805,28.1094351,-81.9226397,rich,rich
2325-Caspian-Dr-Lakeland-FL-33805,5e790baf1f19d194c8a02125,227900,4,3,1823,33805,28.127306,-81.9215858,rich,rich
4802-Joyce-Dr-Lakeland-FL-33805,5e790a5d1f19d194c8a0211f,199950,3,2,1378,33805,28.1048378,-81.9370925,rich,rich
